init x,init y,init z,N,dt,elapsed_time_total
0.1,1.4000000000000001,1.0,40000,0.0023,3.676804000000004
beta,sigma,rho,time_elapsed
10.0,2.6666666666666665,6.0,0.6570427999999993
x,y,z
3.123,3.42,3.776
3.13,3.428,3.777
3.137,3.436,3.779
3.144,3.444,3.781
3.151,3.452,3.783
3.158,3.46,3.785
3.165,3.468,3.787
3.172,3.476,3.789
3.179,3.484,3.791
3.186,3.492,3.793
3.193,3.5,3.795
3.2,3.508,3.797
3.207,3.516,3.8
3.214,3.524,3.803
3.221,3.532,3.806
3.228,3.54,3.809
3.235,3.548,3.812
3.242,3.556,3.815
3.249,3.564,3.818
3.256,3.572,3.821
3.263,3.58,3.824
3.27,3.588,3.827
3.277,3.596,3.831
3.284,3.604,3.835
3.291,3.612,3.839
3.298,3.62,3.843
3.305,3.628,3.847
3.312,3.636,3.851
3.319,3.644,3.855
3.326,3.652,3.859
3.333,3.66,3.863
3.341,3.668,3.867
3.349,3.676,3.871
3.357,3.684,3.876
3.365,3.692,3.881
3.373,3.7,3.886
3.381,3.708,3.891
3.389,3.716,3.896
3.397,3.724,3.901
3.405,3.732,3.906
3.413,3.74,3.911
3.421,3.748,3.916
3.429,3.756,3.921
3.437,3.764,3.927
3.445,3.772,3.933
3.453,3.78,3.939
3.461,3.788,3.945
3.469,3.796,3.951
3.477,3.804,3.957
3.485,3.812,3.963
3.493,3.82,3.969
3.501,3.828,3.975
3.509,3.836,3.981
3.517,3.843,3.988
3.524,3.85,3.995
3.531,3.857,4.002
3.538,3.864,4.009
3.545,3.871,4.016
3.552,3.878,4.023
3.559,3.885,4.03
3.566,3.892,4.037
3.573,3.899,4.044
3.58,3.906,4.051
3.587,3.913,4.058
3.594,3.92,4.065
3.601,3.927,4.072
3.608,3.934,4.08
3.615,3.941,4.088
3.622,3.948,4.096
3.629,3.955,4.104
3.636,3.962,4.112
3.643,3.969,4.12
3.65,3.976,4.128
3.657,3.983,4.136
3.664,3.99,4.144
3.671,3.996,4.152
3.678,4.002,4.16
3.685,4.008,4.168
3.692,4.014,4.176
3.699,4.02,4.184
3.706,4.026,4.193
3.713,4.032,4.202
3.72,4.038,4.211
3.727,4.044,4.22
3.734,4.05,4.229
3.741,4.056,4.238
3.748,4.062,4.247
3.755,4.068,4.256
3.762,4.074,4.265
3.769,4.08,4.274
3.776,4.086,4.283
3.783,4.092,4.292
3.79,4.097,4.301
3.797,4.102,4.31
3.804,4.107,4.319
3.811,4.112,4.328
3.818,4.117,4.337
3.825,4.122,4.347
3.832,4.127,4.357
3.839,4.132,4.367
3.846,4.137,4.377
3.853,4.142,4.387
3.86,4.147,4.397
3.867,4.152,4.407
3.874,4.157,4.417
3.881,4.162,4.427
3.887,4.166,4.437
3.893,4.17,4.447
3.899,4.174,4.457
3.905,4.178,4.467
3.911,4.182,4.477
3.917,4.186,4.487
3.923,4.19,4.497
3.929,4.194,4.507
3.935,4.198,4.517
3.941,4.202,4.527
3.947,4.206,4.537
3.953,4.21,4.547
3.959,4.214,4.557
3.965,4.217,4.567
3.971,4.22,4.577
3.977,4.223,4.587
3.983,4.226,4.597
3.989,4.229,4.608
3.995,4.232,4.619
4.0,4.235,4.63
4.005,4.238,4.641
4.01,4.241,4.652
4.015,4.244,4.663
4.02,4.247,4.674
4.025,4.249,4.685
4.03,4.251,4.696
4.035,4.253,4.707
4.04,4.255,4.718
4.045,4.257,4.729
4.05,4.259,4.74
4.055,4.261,4.751
4.06,4.263,4.762
4.065,4.265,4.773
4.07,4.267,4.784
4.075,4.269,4.795
4.079,4.27,4.806
4.083,4.271,4.817
4.087,4.272,4.828
4.091,4.273,4.839
